id,quartile,identifiers,areas
Environmental Science (miscellaneous),Q3,['2299-8624'],"['Computer Science', 'Engineering', 'Environmental Science', 'Materials Science']"
Materials Science (miscellaneous),Q3,['2299-8624'],"['Computer Science', 'Engineering', 'Environmental Science', 'Materials Science']"
Immunology and Allergy,Q4,['0344-5062'],['Medicine']
Analytical Chemistry,Q4,['2383-093X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry']"
Biochemistry,Q4,['2383-093X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry']"
Spectroscopy,Q4,['2383-093X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry']"
Anthropology,Q2,"['0003-5548', '2363-7099']","['Agricultural and Biological Sciences', 'Medicine', 'Social Sciences']"
Animal Science and Zoology,Q3,"['0003-5548', '2363-7099']","['Agricultural and Biological Sciences', 'Medicine', 'Social Sciences']"
"Ecology, Evolution, Behavior and Systematics",Q4,"['0003-5548', '2363-7099']","['Agricultural and Biological Sciences', 'Medicine', 'Social Sciences']"
Medicine (miscellaneous),Q4,"['0003-5548', '2363-7099']","['Agricultural and Biological Sciences', 'Medicine', 'Social Sciences']"
Strategy and Management,Q3,['1807-7692'],"['Business, Management and Accounting']"
Religious Studies,Q1,"['2720-1481', '0137-6985']",['Arts and Humanities']
Communication,Q3,"['1753-5379', '0250-0167']",['Social Sciences']
Sociology and Political Science,Q3,['2332-886X'],['Social Sciences']
Dermatology,Q3,"['2731-7005', '2731-7013']",['Medicine']
"Economics, Econometrics and Finance (miscellaneous)",Q3,['1545-2921'],"['Economics, Econometrics and Finance']"
Agronomy and Crop Science,Q3,"['1883-0986', '1880-554X']",['Agricultural and Biological Sciences']
Plant Science,Q4,"['1883-0986', '1880-554X']",['Agricultural and Biological Sciences']
"Ecology, Evolution, Behavior and Systematics",Q4,"['1736-7786', '1406-2070']",['Agricultural and Biological Sciences']
Plant Science,Q4,"['1736-7786', '1406-2070']",['Agricultural and Biological Sciences']
Education,Q3,['1698-7802'],['Social Sciences']
History,Q1,['1045-0300'],"['Arts and Humanities', 'Social Sciences']"
Cultural Studies,Q2,['1045-0300'],"['Arts and Humanities', 'Social Sciences']"
Sociology and Political Science,Q3,['1045-0300'],"['Arts and Humanities', 'Social Sciences']"
Education,Q3,['2000-7558'],['Social Sciences']
History and Philosophy of Science,Q2,['1972-1293'],"['Arts and Humanities', 'Social Sciences']"
Linguistics and Language,Q2,['1972-1293'],"['Arts and Humanities', 'Social Sciences']"
Philosophy,Q2,['1972-1293'],"['Arts and Humanities', 'Social Sciences']"
Education,Q3,['1972-1293'],"['Arts and Humanities', 'Social Sciences']"
"Business, Management and Accounting (miscellaneous)",Q3,['2399-830X'],"['Business, Management and Accounting']"
Management Information Systems,Q4,['2399-830X'],"['Business, Management and Accounting']"
Marketing,Q4,['2399-830X'],"['Business, Management and Accounting']"
Strategy and Management,Q4,['2399-830X'],"['Business, Management and Accounting']"
Economics and Econometrics,Q3,"['1753-0822', '1753-0830']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Strategy and Management,Q3,"['1753-0822', '1753-0830']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
"Tourism, Leisure and Hospitality Management",Q4,"['1753-0822', '1753-0830']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Surgery,Q3,['2210-2612'],['Medicine']
"Tourism, Leisure and Hospitality Management",Q4,"['1750-4090', '1750-4104']","['Business, Management and Accounting']"
Materials Science (miscellaneous),Q3,"['1523-6919', '1524-3303']",['Materials Science']
Agronomy and Crop Science,Q3,"['2251-905X', '2251-9041']",['Agricultural and Biological Sciences']
Plant Science,Q4,"['2251-905X', '2251-9041']",['Agricultural and Biological Sciences']
Multidisciplinary,Q2,['1007-1172'],['Multidisciplinary']
Education,Q3,['2229-8932'],['Social Sciences']
Mathematics (miscellaneous),Q3,"['2320-3110', '0970-1249']",['Mathematics']
Cardiology and Cardiovascular Medicine,Q4,"['2212-5043', '1016-7315']",['Medicine']
Physics and Astronomy (miscellaneous),Q3,"['2251-7227', '2251-7235']",['Physics and Astronomy']
Arts and Humanities (miscellaneous),Q2,['1940-0764'],"['Arts and Humanities', 'Social Sciences']"
Cultural Studies,Q2,['1940-0764'],"['Arts and Humanities', 'Social Sciences']"
Communication,Q3,['1940-0764'],"['Arts and Humanities', 'Social Sciences']"
Ecology,Q3,"['2499-9776', '2499-9768']","['Agricultural and Biological Sciences', 'Environmental Science']"
Aquatic Science,Q4,"['2499-9776', '2499-9768']","['Agricultural and Biological Sciences', 'Environmental Science']"
"Ecology, Evolution, Behavior and Systematics",Q4,"['2499-9776', '2499-9768']","['Agricultural and Biological Sciences', 'Environmental Science']"
Education,Q3,['1442-3901'],"['Mathematics', 'Social Sciences']"
Mathematics (miscellaneous),Q3,['1442-3901'],"['Mathematics', 'Social Sciences']"
Law,Q2,"['1891-814X', '1891-8131']",['Social Sciences']
Political Science and International Relations,Q3,"['1891-814X', '1891-8131']",['Social Sciences']
Sociology and Political Science,Q3,"['1891-814X', '1891-8131']",['Social Sciences']
Computer Science (miscellaneous),Q3,['1875-0362'],"['Computer Science', 'Engineering', 'Medicine']"
Biomedical Engineering,Q4,['1875-0362'],"['Computer Science', 'Engineering', 'Medicine']"
Health Informatics,Q4,['1875-0362'],"['Computer Science', 'Engineering', 'Medicine']"
"Atomic and Molecular Physics, and Optics",Q4,"['1340-6000', '1349-9432']",['Physics and Astronomy']
Ecology,Q3,"['0138-0338', '2081-8262']","['Agricultural and Biological Sciences', 'Environmental Science']"
"Ecology, Evolution, Behavior and Systematics",Q4,"['0138-0338', '2081-8262']","['Agricultural and Biological Sciences', 'Environmental Science']"
Psychology (miscellaneous),Q4,"['0033-2852', '1347-5916']",['Psychology']
Clinical Psychology,Q3,"['1989-709X', '2171-2085']","['Psychology', 'Social Sciences']"
Education,Q3,"['1989-709X', '2171-2085']","['Psychology', 'Social Sciences']"
Sociology and Political Science,Q3,"['1989-709X', '2171-2085']","['Psychology', 'Social Sciences']"
Social Psychology,Q4,"['1989-709X', '2171-2085']","['Psychology', 'Social Sciences']"
Engineering (miscellaneous),Q3,"['0120-6230', '2422-2844']",['Engineering']
Social Sciences (miscellaneous),Q3,"['1988-429X', '0034-9712']",['Social Sciences']
"Radiology, Nuclear Medicine and Imaging",Q3,"['1438-9010', '1438-9029']",['Medicine']
Medicine (miscellaneous),Q4,"['1438-9010', '1438-9029']",['Medicine']
Geology,Q3,['8755-6839'],['Earth and Planetary Sciences']
Oceanography,Q4,['8755-6839'],['Earth and Planetary Sciences']
Astronomy and Astrophysics,Q4,"['0038-0946', '1608-3423']","['Earth and Planetary Sciences', 'Physics and Astronomy']"
Space and Planetary Science,Q4,"['0038-0946', '1608-3423']","['Earth and Planetary Sciences', 'Physics and Astronomy']"
Social Sciences (miscellaneous),Q3,['1216-2051'],['Social Sciences']
Materials Science (miscellaneous),Q3,['0049-2930'],"['Materials Science', 'Mathematics']"
Mathematics (miscellaneous),Q3,['0049-2930'],"['Materials Science', 'Mathematics']"
Metals and Alloys,Q3,['0049-2930'],"['Materials Science', 'Mathematics']"
Applied Mathematics,Q4,['0049-2930'],"['Materials Science', 'Mathematics']"
Electrical and Electronic Engineering,Q3,['0372-2112'],['Engineering']
Clinical Psychology,Q3,"['1423-0402', '1016-6262']","['Medicine', 'Psychology']"
Psychiatry and Mental Health,Q4,"['1423-0402', '1016-6262']","['Medicine', 'Psychology']"
Law,Q2,['0043-0617'],['Social Sciences']
Engineering (miscellaneous),Q3,['1008-973X'],['Engineering']
Anthropology,Q2,"['1578-9705', '1695-9752']",['Social Sciences']
Cultural Studies,Q2,"['1578-9705', '1695-9752']",['Social Sciences']
"Ecology, Evolution, Behavior and Systematics",Q4,['0003-0031'],['Agricultural and Biological Sciences']
Critical Care and Intensive Care Medicine,Q3,"['1592-9566', '1121-1539']","['Medicine', 'Nursing']"
Emergency Medicine,Q3,"['1592-9566', '1121-1539']","['Medicine', 'Nursing']"
Emergency Nursing,Q3,"['1592-9566', '1121-1539']","['Medicine', 'Nursing']"
Literature and Literary Theory,Q1,['1695-5951'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Visual Arts and Performing Arts,Q1,['1695-5951'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Cultural Studies,Q2,['1695-5951'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Computer Graphics and Computer-Aided Design,Q3,['1695-5951'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Computer Science Applications,Q4,['1695-5951'],"['Arts and Humanities', 'Computer Science', 'Social Sciences']"
Education,Q3,"['2515-0731', '2515-074X']",['Social Sciences']
History,Q1,['1134-2277'],"['Arts and Humanities', 'Social Sciences']"
Cultural Studies,Q2,['1134-2277'],"['Arts and Humanities', 'Social Sciences']"
Sociology and Political Science,Q3,['1134-2277'],"['Arts and Humanities', 'Social Sciences']"
History,Q1,['0255-6812'],"['Arts and Humanities', 'Social Sciences']"
Archeology,Q2,['0255-6812'],"['Arts and Humanities', 'Social Sciences']"
Archeology (arts and humanities),Q2,['0255-6812'],"['Arts and Humanities', 'Social Sciences']"
Chemical Engineering (miscellaneous),Q3,['1006-6772'],"['Chemical Engineering', 'Energy', 'Environmental Science']"
Fuel Technology,Q3,['1006-6772'],"['Chemical Engineering', 'Energy', 'Environmental Science']"
Pollution,Q4,['1006-6772'],"['Chemical Engineering', 'Energy', 'Environmental Science']"
Orthodontics,Q3,"['2770-579X', '2770-5781']",['Dentistry']
Development,Q3,['1395-4199'],['Social Sciences']
"Geography, Planning and Development",Q3,['1395-4199'],['Social Sciences']
Political Science and International Relations,Q3,['1395-4199'],['Social Sciences']
Education,Q3,['2221-4070'],['Social Sciences']
Sociology and Political Science,Q3,['2221-4070'],['Social Sciences']
Ecology,Q3,"['2277-470X', '2319-247X']","['Environmental Science', 'Medicine', 'Veterinary']"
Veterinary (miscellaneous),Q3,"['2277-470X', '2319-247X']","['Environmental Science', 'Medicine', 'Veterinary']"
"Health, Toxicology and Mutagenesis",Q4,"['2277-470X', '2319-247X']","['Environmental Science', 'Medicine', 'Veterinary']"
Medicine (miscellaneous),Q4,"['2277-470X', '2319-247X']","['Environmental Science', 'Medicine', 'Veterinary']"
"Public Health, Environmental and Occupational Health",Q4,"['2277-470X', '2319-247X']","['Environmental Science', 'Medicine', 'Veterinary']"
Law,Q2,"['1839-4205', '1038-3441']",['Social Sciences']
Artificial Intelligence,Q4,"['1557-3958', '1557-3966']",['Computer Science']
Human-Computer Interaction,Q4,"['1557-3958', '1557-3966']",['Computer Science']
Software,Q4,"['1557-3958', '1557-3966']",['Computer Science']
"Geography, Planning and Development",Q3,"['1466-6650', '1741-5136']","['Environmental Science', 'Social Sciences']"
"Management, Monitoring, Policy and Law",Q4,"['1466-6650', '1741-5136']","['Environmental Science', 'Social Sciences']"
Industrial and Manufacturing Engineering,Q3,"['1754-890X', '1754-8918']","['Earth and Planetary Sciences', 'Engineering']"
Geotechnical Engineering and Engineering Geology,Q4,"['1754-890X', '1754-8918']","['Earth and Planetary Sciences', 'Engineering']"
Agricultural and Biological Sciences (miscellaneous),Q3,"['2313-1241', '2312-9344']",['Agricultural and Biological Sciences']
Agronomy and Crop Science,Q3,"['2313-1241', '2312-9344']",['Agricultural and Biological Sciences']
Plant Science,Q4,"['2313-1241', '2312-9344']",['Agricultural and Biological Sciences']
Critical Care and Intensive Care Medicine,Q3,"['2211-5587', '2211-5595']",['Medicine']
Emergency Medicine,Q3,"['2211-5587', '2211-5595']",['Medicine']
"Geography, Planning and Development",Q3,"['2502-2458', '2339-076X']","['Environmental Science', 'Social Sciences']"
Nature and Landscape Conservation,Q3,"['2502-2458', '2339-076X']","['Environmental Science', 'Social Sciences']"
"Management, Monitoring, Policy and Law",Q4,"['2502-2458', '2339-076X']","['Environmental Science', 'Social Sciences']"
Pollution,Q4,"['2502-2458', '2339-076X']","['Environmental Science', 'Social Sciences']"
Education,Q3,['1547-500X'],['Social Sciences']
E-learning,Q4,['1547-500X'],['Social Sciences']
Communication,Q3,"['0899-7764', '1532-7736']","['Economics, Econometrics and Finance', 'Social Sciences']"
Economics and Econometrics,Q3,"['0899-7764', '1532-7736']","['Economics, Econometrics and Finance', 'Social Sciences']"
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q3,['2651-4702'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Pharmacology, Toxicology and Pharmaceutics']"
Chemistry (miscellaneous),Q3,['2651-4702'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmaceutical Science,Q3,['2651-4702'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Pharmacology, Toxicology and Pharmaceutics']"
Drug Discovery,Q4,['2651-4702'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Pharmacology, Toxicology and Pharmaceutics']"
Molecular Medicine,Q4,['2651-4702'],"['Biochemistry, Genetics and Molecular Biology', 'Chemistry', 'Pharmacology, Toxicology and Pharmaceutics']"
History,Q1,"['2211-792X', '2211-7954']","['Arts and Humanities', 'Social Sciences']"
Religious Studies,Q1,"['2211-792X', '2211-7954']","['Arts and Humanities', 'Social Sciences']"
Anthropology,Q2,"['2211-792X', '2211-7954']","['Arts and Humanities', 'Social Sciences']"
Cultural Studies,Q2,"['2211-792X', '2211-7954']","['Arts and Humanities', 'Social Sciences']"
Mathematics (miscellaneous),Q3,"['2457-6794', '2501-059X']",['Mathematics']
Applied Mathematics,Q4,"['2457-6794', '2501-059X']",['Mathematics']
Computational Mathematics,Q4,"['2457-6794', '2501-059X']",['Mathematics']
Numerical Analysis,Q4,"['2457-6794', '2501-059X']",['Mathematics']
Education,Q3,['2448-2455'],"['Medicine', 'Social Sciences']"
"Public Health, Environmental and Occupational Health",Q4,['2448-2455'],"['Medicine', 'Social Sciences']"
"Ecology, Evolution, Behavior and Systematics",Q4,['1934-5259'],['Agricultural and Biological Sciences']
Plant Science,Q4,['1934-5259'],['Agricultural and Biological Sciences']
History,Q1,"['1752-6272', '1752-6280']","['Arts and Humanities', 'Social Sciences']"
Anthropology,Q2,"['1752-6272', '1752-6280']","['Arts and Humanities', 'Social Sciences']"
Political Science and International Relations,Q3,"['1752-6272', '1752-6280']","['Arts and Humanities', 'Social Sciences']"
Materials Science (miscellaneous),Q3,"['2083-1331', '2083-134X']","['Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanical Engineering,Q3,"['2083-1331', '2083-134X']","['Engineering', 'Materials Science', 'Physics and Astronomy']"
Condensed Matter Physics,Q4,"['2083-1331', '2083-134X']","['Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanics of Materials,Q4,"['2083-1331', '2083-134X']","['Engineering', 'Materials Science', 'Physics and Astronomy']"
Materials Science (miscellaneous),Q3,['2059-8521'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanical Engineering,Q3,['2059-8521'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanics of Materials,Q3,['2059-8521'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Condensed Matter Physics,Q4,['2059-8521'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
"Ecology, Evolution, Behavior and Systematics",Q4,['1092-6194'],['Agricultural and Biological Sciences']
Medicine (miscellaneous),Q4,"['1438-8790', '0934-8387']",['Medicine']
Pulmonary and Respiratory Medicine,Q4,"['1438-8790', '0934-8387']",['Medicine']
"Radiology, Nuclear Medicine and Imaging",Q3,"['1578-178X', '0033-8338']",['Medicine']
Horticulture,Q3,"['0370-6583', '2175-7860']",['Agricultural and Biological Sciences']
Plant Science,Q4,"['0370-6583', '2175-7860']",['Agricultural and Biological Sciences']
Paleontology,Q4,"['2255-0550', '2660-9568']",['Earth and Planetary Sciences']
Materials Chemistry,Q3,"['1793-6667', '0218-625X']","['Materials Science', 'Physics and Astronomy']"
"Surfaces, Coatings and Films",Q3,"['1793-6667', '0218-625X']","['Materials Science', 'Physics and Astronomy']"
Condensed Matter Physics,Q4,"['1793-6667', '0218-625X']","['Materials Science', 'Physics and Astronomy']"
Surfaces and Interfaces,Q4,"['1793-6667', '0218-625X']","['Materials Science', 'Physics and Astronomy']"
Chemical Engineering (miscellaneous),Q3,"['0040-5795', '1608-3431']","['Chemical Engineering', 'Chemistry']"
Chemistry (miscellaneous),Q3,"['0040-5795', '1608-3431']","['Chemical Engineering', 'Chemistry']"
Agricultural and Biological Sciences (miscellaneous),Q3,['0002-7685'],"['Agricultural and Biological Sciences', 'Social Sciences']"
Education,Q3,['0002-7685'],"['Agricultural and Biological Sciences', 'Social Sciences']"
"Radiology, Nuclear Medicine and Imaging",Q3,"['2520-8993', '2520-8985']",['Medicine']
Earth-Surface Processes,Q3,"['2014-4512', '0212-1573']","['Earth and Planetary Sciences', 'Social Sciences']"
"Geography, Planning and Development",Q3,"['2014-4512', '0212-1573']","['Earth and Planetary Sciences', 'Social Sciences']"
Earth and Planetary Sciences (miscellaneous),Q3,"['1794-6190', '2339-3459']",['Earth and Planetary Sciences']
Education,Q3,"['1696-2095', '1699-5880']","['Psychology', 'Social Sciences']"
Developmental and Educational Psychology,Q4,"['1696-2095', '1699-5880']","['Psychology', 'Social Sciences']"
Earth-Surface Processes,Q3,"['2587-8492', '0016-7126']",['Earth and Planetary Sciences']
Computers in Earth Sciences,Q4,"['2587-8492', '0016-7126']",['Earth and Planetary Sciences']
Geophysics,Q4,"['2587-8492', '0016-7126']",['Earth and Planetary Sciences']
Agronomy and Crop Science,Q3,"['1018-1806', '2197-0483']",['Agricultural and Biological Sciences']
Library and Information Sciences,Q3,"['0167-5265', '1875-8789']","['Computer Science', 'Social Sciences']"
Computer Science Applications,Q4,"['0167-5265', '1875-8789']","['Computer Science', 'Social Sciences']"
Information Systems,Q4,"['0167-5265', '1875-8789']","['Computer Science', 'Social Sciences']"
Fluid Flow and Transfer Processes,Q3,"['2353-9003', '1734-4492']","['Chemical Engineering', 'Engineering', 'Social Sciences']"
Civil and Structural Engineering,Q4,"['2353-9003', '1734-4492']","['Chemical Engineering', 'Engineering', 'Social Sciences']"
Transportation,Q4,"['2353-9003', '1734-4492']","['Chemical Engineering', 'Engineering', 'Social Sciences']"
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q3,"['1343-1420', '1349-6867']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q4,"['1343-1420', '1349-6867']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Classics,Q1,['0075-4358'],"['Arts and Humanities', 'Social Sciences']"
History,Q1,['0075-4358'],"['Arts and Humanities', 'Social Sciences']"
Literature and Literary Theory,Q1,['0075-4358'],"['Arts and Humanities', 'Social Sciences']"
Visual Arts and Performing Arts,Q1,['0075-4358'],"['Arts and Humanities', 'Social Sciences']"
Archeology,Q2,['0075-4358'],"['Arts and Humanities', 'Social Sciences']"
Archeology (arts and humanities),Q2,['0075-4358'],"['Arts and Humanities', 'Social Sciences']"
Geochemistry and Petrology,Q4,['0963-0651'],['Earth and Planetary Sciences']
Geophysics,Q4,['0963-0651'],['Earth and Planetary Sciences']
Forestry,Q3,"['0972-172X', '0976-8432']","['Agricultural and Biological Sciences', 'Materials Science']"
Biomaterials,Q4,"['0972-172X', '0976-8432']","['Agricultural and Biological Sciences', 'Materials Science']"
Plant Science,Q4,"['0972-172X', '0976-8432']","['Agricultural and Biological Sciences', 'Materials Science']"
Veterinary (miscellaneous),Q3,"['1300-6045', '1309-2251']",['Veterinary']
Physics and Astronomy (miscellaneous),Q3,['1063-777X'],['Physics and Astronomy']
Education,Q3,['2573-4377'],"['Mathematics', 'Social Sciences']"
Mathematics (miscellaneous),Q3,['2573-4377'],"['Mathematics', 'Social Sciences']"
Chemical Engineering (miscellaneous),Q3,['1000-6532'],"['Chemical Engineering', 'Chemistry', 'Earth and Planetary Sciences']"
Chemistry (miscellaneous),Q3,['1000-6532'],"['Chemical Engineering', 'Chemistry', 'Earth and Planetary Sciences']"
Geology,Q3,['1000-6532'],"['Chemical Engineering', 'Chemistry', 'Earth and Planetary Sciences']"
Geochemistry and Petrology,Q4,['1000-6532'],"['Chemical Engineering', 'Chemistry', 'Earth and Planetary Sciences']"
"Radiology, Nuclear Medicine and Imaging",Q3,"['1644-4345', '1506-9680']",['Medicine']
Medicine (miscellaneous),Q4,"['1644-4345', '1506-9680']",['Medicine']
Clinical Psychology,Q3,['1230-2813'],"['Medicine', 'Neuroscience', 'Psychology']"
Neurology,Q4,['1230-2813'],"['Medicine', 'Neuroscience', 'Psychology']"
Neurology (clinical),Q4,['1230-2813'],"['Medicine', 'Neuroscience', 'Psychology']"
Psychiatry and Mental Health,Q4,['1230-2813'],"['Medicine', 'Neuroscience', 'Psychology']"
Geology,Q3,"['2041-4811', '0044-0604']",['Earth and Planetary Sciences']
Animal Science and Zoology,Q3,['2594-2158'],['Agricultural and Biological Sciences']
"Ecology, Evolution, Behavior and Systematics",Q4,['2594-2158'],['Agricultural and Biological Sciences']
Pulmonary and Respiratory Medicine,Q4,['2979-9139'],['Medicine']
Chemical Engineering (miscellaneous),Q3,"['1813-162X', '2312-7589']","['Chemical Engineering', 'Engineering', 'Environmental Science']"
Electrical and Electronic Engineering,Q3,"['1813-162X', '2312-7589']","['Chemical Engineering', 'Engineering', 'Environmental Science']"
Environmental Engineering,Q3,"['1813-162X', '2312-7589']","['Chemical Engineering', 'Engineering', 'Environmental Science']"
Environmental Science (miscellaneous),Q3,"['1813-162X', '2312-7589']","['Chemical Engineering', 'Engineering', 'Environmental Science']"
Mechanical Engineering,Q3,"['1813-162X', '2312-7589']","['Chemical Engineering', 'Engineering', 'Environmental Science']"
Civil and Structural Engineering,Q4,"['1813-162X', '2312-7589']","['Chemical Engineering', 'Engineering', 'Environmental Science']"
Mathematics (miscellaneous),Q3,['2306-2193'],['Mathematics']
Ocean Engineering,Q3,"['2083-6473', '2083-6481']","['Earth and Planetary Sciences', 'Engineering', 'Social Sciences']"
Oceanography,Q4,"['2083-6473', '2083-6481']","['Earth and Planetary Sciences', 'Engineering', 'Social Sciences']"
Transportation,Q4,"['2083-6473', '2083-6481']","['Earth and Planetary Sciences', 'Engineering', 'Social Sciences']"
Earth-Surface Processes,Q3,['1001-5221'],"['Earth and Planetary Sciences', 'Social Sciences']"
Economic Geology,Q3,['1001-5221'],"['Earth and Planetary Sciences', 'Social Sciences']"
"Geography, Planning and Development",Q3,['1001-5221'],"['Earth and Planetary Sciences', 'Social Sciences']"
Atmospheric Science,Q4,['1001-5221'],"['Earth and Planetary Sciences', 'Social Sciences']"
Paleontology,Q4,['1001-5221'],"['Earth and Planetary Sciences', 'Social Sciences']"
Community and Home Care,Q3,"['1366-3666', '2042-8790']",['Nursing']
Gerontology,Q4,"['1366-3666', '2042-8790']",['Nursing']
Mechanical Engineering,Q3,['1000-4939'],['Engineering']
Mechanics of Materials,Q4,['1000-4939'],['Engineering']
Algebra and Number Theory,Q4,"['2520-6508', '2617-3956']","['Computer Science', 'Mathematics']"
Computational Theory and Mathematics,Q4,"['2520-6508', '2617-3956']","['Computer Science', 'Mathematics']"
Discrete Mathematics and Combinatorics,Q4,"['2520-6508', '2617-3956']","['Computer Science', 'Mathematics']"
Statistics and Probability,Q4,"['2520-6508', '2617-3956']","['Computer Science', 'Mathematics']"
Animal Science and Zoology,Q3,"['1827-9635', '1827-9643']",['Agricultural and Biological Sciences']
Algebra and Number Theory,Q4,['2667-9930'],['Mathematics']
Analysis,Q4,['2667-9930'],['Mathematics']
Applied Mathematics,Q4,['2667-9930'],['Mathematics']
Geometry and Topology,Q4,['2667-9930'],['Mathematics']
Multidisciplinary,Q2,"['0219-5259', '1793-6802']","['Engineering', 'Multidisciplinary']"
Control and Systems Engineering,Q4,"['0219-5259', '1793-6802']","['Engineering', 'Multidisciplinary']"
Electrical and Electronic Engineering,Q3,['1054-4887'],"['Engineering', 'Physics and Astronomy']"
Astronomy and Astrophysics,Q4,['1054-4887'],"['Engineering', 'Physics and Astronomy']"
Rheumatology,Q4,['2795-4552'],['Medicine']
Ecology,Q3,['1000-4890'],"['Agricultural and Biological Sciences', 'Environmental Science']"
"Ecology, Evolution, Behavior and Systematics",Q4,['1000-4890'],"['Agricultural and Biological Sciences', 'Environmental Science']"
Anatomy,Q3,"['1618-565X', '1618-5641']",['Medicine']
Pathology and Forensic Medicine,Q3,"['1618-565X', '1618-5641']",['Medicine']
Health (social science),Q3,"['2075-3470', '2311-9446']","['Psychology', 'Social Sciences']"
Clinical Psychology,Q4,"['2075-3470', '2311-9446']","['Psychology', 'Social Sciences']"
Developmental and Educational Psychology,Q4,"['2075-3470', '2311-9446']","['Psychology', 'Social Sciences']"
Arts and Humanities (miscellaneous),Q2,['2563-190X'],"['Arts and Humanities', 'Social Sciences']"
Social Sciences (miscellaneous),Q3,['2563-190X'],"['Arts and Humanities', 'Social Sciences']"
History,Q1,"['2068-6633', '2068-651X']","['Arts and Humanities', 'Economics, Econometrics and Finance', 'Social Sciences']"
"Economics, Econometrics and Finance (miscellaneous)",Q3,"['2068-6633', '2068-651X']","['Arts and Humanities', 'Economics, Econometrics and Finance', 'Social Sciences']"
Political Science and International Relations,Q3,"['2068-6633', '2068-651X']","['Arts and Humanities', 'Economics, Econometrics and Finance', 'Social Sciences']"
Sociology and Political Science,Q3,"['2068-6633', '2068-651X']","['Arts and Humanities', 'Economics, Econometrics and Finance', 'Social Sciences']"
Nursing (miscellaneous),Q3,['1695-6141'],['Nursing']
Geology,Q3,"['1988-3250', '0367-0449']",['Earth and Planetary Sciences']
Health (social science),Q3,['2386-4095'],"['Health Professions', 'Social Sciences']"
"Physical Therapy, Sports Therapy and Rehabilitation",Q3,['2386-4095'],"['Health Professions', 'Social Sciences']"
Social Sciences (miscellaneous),Q3,['2386-4095'],"['Health Professions', 'Social Sciences']"
"Geography, Planning and Development",Q3,"['1062-7987', '1474-0575']",['Social Sciences']
Political Science and International Relations,Q3,"['1062-7987', '1474-0575']",['Social Sciences']
Pathology and Forensic Medicine,Q3,"['0377-4929', '0974-5130']",['Medicine']
Medicine (miscellaneous),Q4,"['0377-4929', '0974-5130']",['Medicine']
Microbiology (medical),Q4,"['0377-4929', '0974-5130']",['Medicine']
Materials Chemistry,Q3,"['1754-4904', '1354-2575']","['Engineering', 'Materials Science']"
Mechanical Engineering,Q3,"['1754-4904', '1354-2575']","['Engineering', 'Materials Science']"
Metals and Alloys,Q3,"['1754-4904', '1354-2575']","['Engineering', 'Materials Science']"
Mechanics of Materials,Q4,"['1754-4904', '1354-2575']","['Engineering', 'Materials Science']"
Automotive Engineering,Q3,"['2185-0992', '2185-0984']","['Chemical Engineering', 'Engineering', 'Social Sciences']"
Fluid Flow and Transfer Processes,Q3,"['2185-0992', '2185-0984']","['Chemical Engineering', 'Engineering', 'Social Sciences']"
Human Factors and Ergonomics,Q3,"['2185-0992', '2185-0984']","['Chemical Engineering', 'Engineering', 'Social Sciences']"
"Safety, Risk, Reliability and Quality",Q3,"['2185-0992', '2185-0984']","['Chemical Engineering', 'Engineering', 'Social Sciences']"
Information Systems and Management,Q3,"['1743-8195', '1743-8187']","['Business, Management and Accounting', 'Decision Sciences']"
Management Information Systems,Q4,"['1743-8195', '1743-8187']","['Business, Management and Accounting', 'Decision Sciences']"
"Statistics, Probability and Uncertainty",Q4,"['1743-8195', '1743-8187']","['Business, Management and Accounting', 'Decision Sciences']"
Information Systems,Q4,"['1947-8186', '1947-8194']","['Business, Management and Accounting', 'Computer Science']"
Management of Technology and Innovation,Q4,"['1947-8186', '1947-8194']","['Business, Management and Accounting', 'Computer Science']"
